model,w_doc,w_query,w_topic,AUC
BM25_Best,2.0,1.0,1.0,0.5449146337242357
BM25_Best,2.0,1.0,1.5,0.5359402662524928
BM25_Best,2.0,1.0,2.0,0.5297542812935421
BM25_Best,2.0,1.5,0.0,0.5680234375690413
BM25_Best,2.0,1.5,0.5,0.5637224810808581
BM25_Best,2.0,1.5,1.0,0.5541630673165012
BM25_Best,2.0,1.5,1.5,0.5452841240488879
BM25_Best,2.0,1.5,2.0,0.5382681712870908
BM25_Best,2.0,2.0,0.0,0.5699917573960662
BM25_Best,2.0,2.0,0.5,0.5674710892093875
BM25_Best,2.0,2.0,1.0,0.5602616920885731
BM25_Best,2.0,2.0,1.5,0.5523089693228582
BM25_Best,2.0,2.0,2.0,0.5452772935685228
BM25_Best,2.0,3.0,0.0,0.5720273510108375
BM25_Best,2.0,3.0,0.5,0.5708937306132189
BM25_Best,2.0,3.0,1.0,0.5669442584933617
BM25_Best,2.0,3.0,1.5,0.561287994777168
BM25_Best,2.0,3.0,2.0,0.5553838269690194
BM25_Best,3.0,0.0,0.0,0.5147758111149406
BM25_Best,3.0,0.0,0.5,0.5169543477204239
BM25_Best,3.0,0.0,1.0,0.5148493814641015
BM25_Best,3.0,0.0,1.5,0.5127884174936886
BM25_Best,3.0,0.0,2.0,0.5112225068562558
BM25_Best,3.0,0.5,0.0,0.5489981379116331
BM25_Best,3.0,0.5,0.5,0.5399066212577806
BM25_Best,3.0,0.5,1.0,0.5312664134049742
BM25_Best,3.0,0.5,1.5,0.525362908392764
BM25_Best,3.0,0.5,2.0,0.5214743398552454
BM25_Best,3.0,1.0,0.0,0.5592192613654774
BM25_Best,3.0,1.0,0.5,0.5532327595729827
BM25_Best,3.0,1.0,1.0,0.543850054570199
BM25_Best,3.0,1.0,1.5,0.5362409914985374
BM25_Best,3.0,1.0,2.0,0.5305372826397542
BM25_Best,3.0,1.5,0.0,0.5641979267006607
BM25_Best,3.0,1.5,0.5,0.560527344382878
BM25_Best,3.0,1.5,1.0,0.5525032974097935
BM25_Best,3.0,1.5,1.5,0.5449146337242357
BM25_Best,3.0,1.5,2.0,0.5386085722344471
BM25_Best,3.0,2.0,0.0,0.5670457951489228
BM25_Best,3.0,2.0,0.5,0.5647689622235773
BM25_Best,3.0,2.0,1.0,0.5585088545855168
BM25_Best,3.0,2.0,1.5,0.5515301288622593
BM25_Best,3.0,2.0,2.0,0.5452304007558819
BM25_Best,3.0,3.0,0.0,0.5699917573960662
BM25_Best,3.0,3.0,0.5,0.5690367052708478
