model,w1_doc,w2_query,w3_topic,AUC
BM25_Best,1.0,0.0,0.0,0.5420716154343032
BM25_Best,1.0,0.0,0.5,0.5385189532615786
BM25_Best,1.0,0.0,1.0,0.5284657794902936
BM25_Best,1.0,0.0,1.5,0.5214987353014195
BM25_Best,1.0,0.0,2.0,0.5170681489256648
BM25_Best,1.0,0.5,0.0,0.5723976187787712
BM25_Best,1.0,0.5,0.5,0.5650106558819007
BM25_Best,1.0,0.5,1.0,0.5506107002445212
BM25_Best,1.0,0.5,1.5,0.5393743241122846
BM25_Best,1.0,0.5,2.0,0.5317589762749597
BM25_Best,1.0,1.0,0.0,0.576926130968471
BM25_Best,1.0,1.0,0.5,0.5739130248230261
BM25_Best,1.0,1.0,1.0,0.5636628045442574
BM25_Best,1.0,1.0,1.5,0.5528954458087616
BM25_Best,1.0,1.0,2.0,0.544198677626754
BM25_Best,1.0,1.5,0.0,0.5782633370151918
BM25_Best,1.0,1.5,0.5,0.5768772495305616
BM25_Best,1.0,1.5,1.0,0.5704062433110505
BM25_Best,1.0,1.5,1.5,0.5618911511399396
BM25_Best,1.0,1.5,2.0,0.5537353103811085
BM25_Best,1.0,2.0,0.0,0.5788253649257326
BM25_Best,1.0,2.0,0.5,0.5780560525621016
BM25_Best,1.0,2.0,1.0,0.573926385749388
BM25_Best,1.0,2.0,1.5,0.5675571072334371
BM25_Best,1.0,2.0,2.0,0.560632372644709
BM25_Best,1.0,3.0,0.0,0.5790528265501376
BM25_Best,1.0,3.0,0.5,0.5787339837931964
BM25_Best,1.0,3.0,1.0,0.5767789978403637
BM25_Best,1.0,3.0,1.5,0.5733765781983247
BM25_Best,1.0,3.0,2.0,0.568845187435059
BM25_Best,1.5,0.0,0.0,0.5420716154343032
BM25_Best,1.5,0.0,0.5,0.542119288414442
BM25_Best,1.5,0.0,1.0,0.5347993745565707
BM25_Best,1.5,0.0,1.5,0.5284657794902936
BM25_Best,1.5,0.0,2.0,0.52345717011126
BM25_Best,1.5,0.5,0.0,0.5685178447391923
BM25_Best,1.5,0.5,0.5,0.5639530788163761
BM25_Best,1.5,0.5,1.0,0.5536025429644756
BM25_Best,1.5,0.5,1.5,0.5442049779009734
BM25_Best,1.5,0.5,2.0,0.5368024001003264
BM25_Best,1.5,1.0,0.0,0.5746380723289947
BM25_Best,1.5,1.0,0.5,0.5726118009458776
BM25_Best,1.5,1.0,1.0,0.5649182156515431
BM25_Best,1.5,1.0,1.5,0.5558937517410618
BM25_Best,1.5,1.0,2.0,0.5478818668168739
BM25_Best,1.5,1.5,0.0,0.576926130968471
BM25_Best,1.5,1.5,0.5,0.5760644055308368
BM25_Best,1.5,1.5,1.0,0.5708914730513646
BM25_Best,1.5,1.5,1.5,0.5636628045442574
BM25_Best,1.5,1.5,2.0,0.5563336303695378
BM25_Best,1.5,2.0,0.0,0.5779839524411852
BM25_Best,1.5,2.0,0.5,0.5776112586334803
BM25_Best,1.5,2.0,1.0,0.5741100441741555
BM25_Best,1.5,2.0,1.5,0.568616150742099
BM25_Best,1.5,2.0,2.0,0.562431942781344
BM25_Best,1.5,3.0,0.0,0.5788253649257326
BM25_Best,1.5,3.0,0.5,0.5787169839153457
BM25_Best,1.5,3.0,1.0,0.5769985841219947
BM25_Best,1.5,3.0,1.5,0.573926385749388
BM25_Best,1.5,3.0,2.0,0.569792618327161
BM25_Best,2.0,0.0,0.0,0.5420716154343032
BM25_Best,2.0,0.0,0.5,0.5436061802865833
BM25_Best,2.0,0.0,1.0,0.5385189532615786
BM25_Best,2.0,0.0,1.5,0.5330351619933569
BM25_Best,2.0,0.0,2.0,0.5284657794902936
BM25_Best,2.0,0.5,0.0,0.5653546997357197
BM25_Best,2.0,0.5,0.5,0.5624296616475749
BM25_Best,2.0,0.5,1.0,0.5549167747353789
BM25_Best,2.0,0.5,1.5,0.5470813789583985
BM25_Best,2.0,0.5,2.0,0.5405590743854367
BM25_Best,2.0,1.0,0.0,0.5723976187787712
BM25_Best,2.0,1.0,0.5,0.5709782647600082
BM25_Best,2.0,1.0,1.0,0.5650106558819007
BM25_Best,2.0,1.0,1.5,0.5576680393117559
BM25_Best,2.0,1.0,2.0,0.5506107002445212
BM25_Best,2.0,1.5,0.0,0.5754356001448411
BM25_Best,2.0,1.5,0.5,0.5748190422746771
BM25_Best,2.0,1.5,1.0,0.5707016772905041
BM25_Best,2.0,1.5,1.5,0.5646419540582919
BM25_Best,2.0,1.5,2.0,0.558165190691649
BM25_Best,2.0,2.0,0.0,0.576926130968471
BM25_Best,2.0,2.0,0.5,0.576769981930705
BM25_Best,2.0,2.0,1.0,0.5739130248230261
BM25_Best,2.0,2.0,1.5,0.5691500446694873
BM25_Best,2.0,2.0,2.0,0.5636628045442574
