Model,Outcome,Feature,Coefficient,Odds_Ratio,P_value,Lower_CI,Upper_CI,complexity
BIM_Medium,0,5,-0.2788478259237898,0.7566550377359578,4.553687122428478e-06,0.7356321576392937,0.9712094750182453,Medium
BIM_Medium,0,6,-1.2174196894351745,0.29599293611026845,4.685254211808945e-47,0.4170977110484406,0.5493427321809284,Medium
BIM_Medium,0,7,-0.17778936544290497,0.8371187310530347,0.0025882837635391774,1.0533343994719753,1.386707552068628,Medium
BIM_Medium,0,8,-0.664742942989021,0.5144057423151078,2.4943422503320987e-22,1.026360978067835,1.342777445292117,Medium
BIM_Medium,1,0,0.12816683068545362,1.1367426304309771,0.02402186600416863,0.48146179504503983,0.6263366070013384,Medium
BIM_Medium,1,1,0.1959372669252368,1.2164505912547459,0.0038071316122371586,0.8061109386127367,1.047023254523423,Medium
BIM_Medium,1,2,0.18944651046120572,1.2085804758482,0.006919289288360552,1.0013172550117226,1.2968049317669688,Medium
BIM_Medium,1,3,-0.08479138136129385,0.9187039231728789,0.20368972378706973,0.9083672832046016,1.1323244662429353,Medium
BIM_Medium,1,4,-0.08243427871931164,0.9208719567524408,0.141466673429956,0.825044147828335,1.0278300415379853,Medium
BIM_Medium,1,5,0.0706321843916802,1.073186418549282,0.24349784389791085,0.9815154279206348,1.2228757138447814,Medium
BIM_Medium,1,6,0.2321711515375769,1.2613355898809355,0.005227050151946903,0.6716188567325235,0.8524579683729996,Medium
BIM_Medium,1,7,0.1309317559855095,1.1398899879886983,0.026799600446498595,0.9530707051594156,1.20844034206884,Medium
BIM_Medium,1,8,0.09739056520918968,1.102290805998816,0.15443703094567843,1.090105841369142,1.3762526324288344,Medium
BIM_Medium,2,0,0.06342464579956424,1.065479194443581,0.2655205888407547,0.2508143941473237,0.34930937087971076,Medium
BIM_Medium,2,1,-0.16811908686885527,0.8452531701374432,0.017684383919668298,1.0716820146447645,1.4845518060015712,Medium
BIM_Medium,2,2,0.16037985227753979,1.1739567164412181,0.01930852277881386,0.679511876774079,0.960564879939534,Medium
BIM_Medium,2,3,0.13060994132638395,1.1395232137006097,0.04771261491856325,0.7456876111794423,0.9397605101303074,Medium
BIM_Medium,2,4,0.09127384043303657,1.0955689752672408,0.10366935489443349,1.0151591719423625,1.2799462592952344,Medium
BIM_Medium,2,5,0.20281955775410968,1.2248514333625655,0.000647559801258272,0.8395237560245787,1.0640858148113146,Medium
BIM_Medium,2,6,-0.21330715890660829,0.8079079429804986,0.0157097506254747,0.449871797401607,0.5881970580399222,Medium
BIM_Medium,2,7,-0.05640223217700327,0.9451588861048016,0.3509559267759603,0.9640108655080141,1.260405939874148,Medium
BIM_Medium,2,8,-0.08433662937240166,0.9191218006172428,0.232052572769346,0.8003948853596323,1.0554601232744074,Medium
BM25_Best_Medium,0,0,0.021367433135938824,1.0215973514030143,0.7326232564824703,0.9037372026785332,1.1548281351043292,Medium
BM25_Best_Medium,0,1,-0.38533059665262703,0.6802257186825189,4.3211677389430197e-08,1.093712838949552,1.4033147594335655,Medium
BM25_Best_Medium,0,2,-0.40505436548210133,0.666940551328244,8.299607636777382e-09,0.8617275053404135,1.0994545474617168,Medium
BM25_Best_Medium,0,3,-0.30952268887668205,0.7337971221772629,6.126353450220126e-06,0.5926107089909368,0.7807942403623115,Medium
BM25_Best_Medium,0,4,0.46542664613391893,1.5926935605012649,2.481654662451302e-16,1.2386190863790405,1.6271310582814171,Medium
BM25_Best_Medium,0,5,0.13620543839195948,1.1459172848191483,0.025773914350501737,0.7001988447678004,0.9250243644131508,Medium
BM25_Best_Medium,0,6,-0.781676307048011,0.4576382257795561,2.6126432262691834e-22,0.5811020881119516,0.7654587861682709,Medium
BM25_Best_Medium,0,7,0.003579354814872201,1.0035857683551466,0.9546334142207429,1.146535963513638,1.512470226259805,Medium
BM25_Best_Medium,0,8,-0.3723031774405484,0.6891452775476767,9.2811711777965e-08,0.8577445871990744,1.127455685328675,Medium
BM25_Best_Medium,1,0,0.21420765283775187,1.2388798850089917,0.0007552360986662312,0.6416712194158595,0.8391497081726905,Medium
BM25_Best_Medium,1,1,0.35040774807201847,1.4196462886323093,4.78598272651549e-07,0.9600565973587447,1.2631048908492246,Medium
BM25_Best_Medium,1,2,0.2752447082620627,1.3168528802225692,9.815750804373111e-05,0.9279400448148533,1.2071358824710767,Medium
BM25_Best_Medium,1,3,0.09640492410701425,1.1012048781293584,0.1683547693385068,1.4249381335374613,1.780198534910995,Medium
BM25_Best_Medium,1,4,0.18950083638511625,1.2086461348826483,0.0010925643981922679,1.078707017318069,1.354237486095841,Medium
BM25_Best_Medium,1,5,0.23090722847664316,1.259742365809729,0.00017918823199813044,0.8922870973176713,1.112127191354721,Medium
